epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4094,0.75601,1.35828,0.90424,0.92063,0.87752,0.95,0.7815,0.73693,0.6282,0.87627,0.00332545,0.00332545,0.00332545
2,61.3541,0.66707,0.61159,0.88351,0.89386,0.80336,0.91297,0.71919,0.76351,0.70413,0.91426,0.00665219,0.00665219,0.00665219
3,90.2365,0.70552,0.61512,0.90514,0.85819,0.83607,0.9057,0.692,0.85788,0.73264,0.96277,0.00997234,0.00997234,0.00997234
4,119.286,0.69058,0.5664,0.91618,0.85186,0.74671,0.86983,0.70766,0.75395,0.99886,0.91104,0.0099703,0.0099703,0.0099703
5,147.316,0.64568,0.50507,0.90387,0.92235,0.93778,0.97962,0.81021,0.67216,0.49158,0.89402,0.0099604,0.0099604,0.0099604
6,175.559,0.60661,0.45215,0.89147,0.95379,0.95054,0.97755,0.84805,0.59225,0.43331,0.85184,0.0099505,0.0099505,0.0099505
7,204.156,0.5828,0.42851,0.88393,0.95077,0.92434,0.98065,0.83171,0.63308,0.43075,0.86903,0.0099406,0.0099406,0.0099406
8,232.635,0.56011,0.41132,0.87615,0.92083,0.95655,0.97988,0.85306,0.61245,0.42421,0.8613,0.0099307,0.0099307,0.0099307
9,261.26,0.55128,0.39712,0.87534,0.9517,0.90746,0.96514,0.8458,0.59536,0.61665,0.85328,0.0099208,0.0099208,0.0099208
10,290.209,0.54045,0.38272,0.86757,0.96642,0.94684,0.98333,0.86686,0.55424,0.40564,0.84291,0.0099109,0.0099109,0.0099109
11,319.025,0.52166,0.3756,0.86329,0.96945,0.93936,0.9876,0.85562,0.60528,0.39571,0.86288,0.009901,0.009901,0.009901
12,347.366,0.51191,0.36274,0.85933,0.92848,0.89145,0.96655,0.80316,0.65668,0.57639,0.87679,0.0098911,0.0098911,0.0098911
13,375.755,0.50815,0.35902,0.85818,0.95974,0.97697,0.98376,0.8664,0.56085,0.36715,0.84943,0.0098812,0.0098812,0.0098812
14,404.837,0.50221,0.34924,0.8545,0.96105,0.9375,0.98841,0.87565,0.53515,0.34946,0.82634,0.0098713,0.0098713,0.0098713
15,433.836,0.49044,0.34557,0.84746,0.96344,0.95724,0.98617,0.87178,0.54557,0.3866,0.83563,0.0098614,0.0098614,0.0098614
16,463.176,0.48649,0.33908,0.85029,0.95664,0.94344,0.98383,0.87373,0.54954,0.37532,0.84064,0.0098515,0.0098515,0.0098515
17,492.174,0.47577,0.33166,0.84484,0.97511,0.93092,0.98696,0.8754,0.53717,0.35985,0.84545,0.0098416,0.0098416,0.0098416
18,520.947,0.47167,0.32524,0.8469,0.98101,0.94737,0.98785,0.88124,0.53193,0.35192,0.82743,0.0098317,0.0098317,0.0098317
19,549.705,0.46166,0.31375,0.84162,0.98268,0.93293,0.98381,0.88116,0.52419,0.34546,0.82623,0.0098218,0.0098218,0.0098218
20,579.311,0.46461,0.3222,0.83954,0.95761,0.97697,0.99071,0.89397,0.52218,0.32388,0.83067,0.0098119,0.0098119,0.0098119
21,608.655,0.46046,0.31929,0.84146,0.95057,0.94884,0.98601,0.87975,0.50059,0.34049,0.82626,0.009802,0.009802,0.009802
22,637.818,0.45675,0.31352,0.83841,0.95823,0.95395,0.98651,0.88651,0.52057,0.36963,0.82623,0.0097921,0.0097921,0.0097921
23,668.454,0.45395,0.30398,0.83997,0.9662,0.96711,0.9903,0.87966,0.51073,0.32827,0.82077,0.0097822,0.0097822,0.0097822
24,698.088,0.44543,0.30222,0.83754,0.96709,0.95395,0.98775,0.8643,0.60061,0.3341,0.85793,0.0097723,0.0097723,0.0097723
25,726.746,0.44785,0.30293,0.83482,0.98236,0.96382,0.9914,0.88039,0.53462,0.33066,0.83154,0.0097624,0.0097624,0.0097624
26,756.087,0.44129,0.30414,0.83528,0.96522,0.95395,0.98404,0.89405,0.50847,0.32095,0.82036,0.0097525,0.0097525,0.0097525
27,784.994,0.44134,0.29982,0.83679,0.96887,0.96382,0.98608,0.89237,0.48952,0.31093,0.80854,0.0097426,0.0097426,0.0097426
28,813.68,0.43219,0.28875,0.83187,0.97737,0.96053,0.98993,0.8975,0.48812,0.31291,0.81435,0.0097327,0.0097327,0.0097327
29,842.278,0.42969,0.29327,0.82951,0.96413,0.9726,0.98907,0.88815,0.51188,0.33856,0.82403,0.0097228,0.0097228,0.0097228
30,870.365,0.42598,0.28815,0.83256,0.97831,0.94408,0.98519,0.89262,0.4966,0.3178,0.81795,0.0097129,0.0097129,0.0097129
31,898.502,0.42782,0.28627,0.82929,0.96355,0.95639,0.98766,0.89563,0.48604,0.32451,0.81394,0.009703,0.009703,0.009703
32,927.03,0.42492,0.2856,0.82681,0.96117,0.97718,0.99219,0.90521,0.48521,0.30073,0.81374,0.0096931,0.0096931,0.0096931
33,955.34,0.42374,0.28197,0.82782,0.96936,0.98026,0.98933,0.90417,0.50516,0.29386,0.82189,0.0096832,0.0096832,0.0096832
34,983.484,0.41945,0.27999,0.82902,0.93723,0.98228,0.98514,0.89204,0.4925,0.32882,0.82475,0.0096733,0.0096733,0.0096733
35,1011.58,0.41643,0.28072,0.82611,0.96682,0.97697,0.98787,0.90092,0.48264,0.28652,0.81249,0.0096634,0.0096634,0.0096634
36,1039.78,0.41669,0.27947,0.8278,0.98321,0.9631,0.98909,0.90727,0.47272,0.2926,0.8126,0.0096535,0.0096535,0.0096535
37,1068.36,0.41267,0.27289,0.82559,0.9464,0.98735,0.98949,0.90916,0.48279,0.28025,0.81453,0.0096436,0.0096436,0.0096436
38,1096.8,0.41157,0.2707,0.82241,0.95467,0.9699,0.97794,0.89615,0.46312,0.31866,0.80872,0.0096337,0.0096337,0.0096337
39,1125.35,0.41566,0.27801,0.83021,0.96644,0.97368,0.98553,0.89826,0.45932,0.29557,0.80498,0.0096238,0.0096238,0.0096238
40,1153.55,0.40971,0.27632,0.82154,0.9403,0.98448,0.98877,0.90383,0.46955,0.28723,0.80429,0.0096139,0.0096139,0.0096139
41,1182.01,0.41114,0.27201,0.82683,0.95731,0.95895,0.98403,0.90437,0.47162,0.31159,0.81404,0.009604,0.009604,0.009604
42,1210.47,0.4086,0.26876,0.82651,0.97839,0.9375,0.98192,0.90112,0.45858,0.32939,0.80302,0.0095941,0.0095941,0.0095941
43,1239,0.40744,0.27533,0.82385,0.97916,0.98026,0.98794,0.90933,0.46842,0.28023,0.80176,0.0095842,0.0095842,0.0095842
44,1267.5,0.40324,0.26625,0.81974,0.97331,0.99013,0.98928,0.9139,0.45509,0.26902,0.80329,0.0095743,0.0095743,0.0095743
45,1296.1,0.39834,0.26264,0.82061,0.97589,0.97697,0.98933,0.90909,0.45917,0.26973,0.80649,0.0095644,0.0095644,0.0095644
46,1324.2,0.39961,0.26307,0.82281,0.97939,0.96711,0.98955,0.91402,0.47405,0.28108,0.81657,0.0095545,0.0095545,0.0095545
47,1352.47,0.39535,0.26461,0.81807,0.96855,0.96053,0.99012,0.90109,0.4771,0.2933,0.80625,0.0095446,0.0095446,0.0095446
48,1380.72,0.39351,0.25835,0.81936,0.97665,0.96314,0.98827,0.91557,0.45123,0.29201,0.80574,0.0095347,0.0095347,0.0095347
49,1409.03,0.39298,0.25954,0.81912,0.96141,0.98354,0.98572,0.90763,0.46221,0.27723,0.80728,0.0095248,0.0095248,0.0095248
50,1437.45,0.38914,0.25886,0.81787,0.96892,0.98026,0.98936,0.91002,0.46164,0.28013,0.80313,0.0095149,0.0095149,0.0095149
51,1465.72,0.38735,0.25818,0.81562,0.96372,0.97697,0.99178,0.91207,0.45285,0.27743,0.80364,0.009505,0.009505,0.009505
52,1494.28,0.38596,0.25688,0.81921,0.96882,0.97697,0.98868,0.90331,0.48259,0.28209,0.81487,0.0094951,0.0094951,0.0094951
53,1522.37,0.38553,0.25478,0.81522,0.97359,0.97368,0.9876,0.90292,0.48835,0.28002,0.82023,0.0094852,0.0094852,0.0094852
