epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1142,0.74719,2.26497,0.9583,0.80798,0.87209,0.88731,0.67882,0.88337,1.01316,1.015,0.00332485,0.00332485,0.00332485
2,58.4827,0.67013,0.87869,0.92775,0.852,0.9031,0.91234,0.69517,0.89847,1.03017,1.01813,0.00665159,0.00665159,0.00665159
3,85.0916,0.69971,0.65863,0.93799,0.83236,0.85013,0.90886,0.68708,0.94712,0.76756,1.0471,0.00997174,0.00997174,0.00997174
4,111.194,0.67658,0.55535,0.92645,0.80513,0.7584,0.82548,0.60103,0.9822,1.30529,1.09971,0.0099703,0.0099703,0.0099703
5,137.275,0.62747,0.48168,0.9065,0.85699,0.89809,0.93184,0.70979,0.87512,0.66172,1.03208,0.0099604,0.0099604,0.0099604
6,163.509,0.58485,0.4464,0.89144,0.9043,0.89276,0.93493,0.72927,0.87751,0.56961,1.02569,0.0099505,0.0099505,0.0099505
7,189.785,0.56492,0.42633,0.88299,0.83115,0.87761,0.90469,0.70803,0.83355,0.7735,1.01573,0.0099406,0.0099406,0.0099406
8,215.982,0.54427,0.40389,0.87661,0.86573,0.89965,0.92111,0.73704,0.769,0.60168,0.99343,0.0099307,0.0099307,0.0099307
9,242.028,0.52946,0.38783,0.87146,0.83725,0.85739,0.91788,0.72903,0.83184,0.66319,1.00208,0.0099208,0.0099208,0.0099208
10,268.301,0.51917,0.37665,0.8668,0.89094,0.93928,0.94504,0.75989,0.7814,0.49668,0.99156,0.0099109,0.0099109,0.0099109
11,294.463,0.50744,0.36714,0.86433,0.9074,0.93282,0.95117,0.75037,0.79343,0.54235,0.994,0.009901,0.009901,0.009901
12,320.686,0.49788,0.35587,0.858,0.86734,0.92071,0.93092,0.75037,0.75784,0.54257,0.98153,0.0098911,0.0098911,0.0098911
13,347.147,0.49238,0.35446,0.85435,0.87475,0.92034,0.94306,0.75161,0.76002,0.54484,0.98917,0.0098812,0.0098812,0.0098812
14,373.339,0.48276,0.34614,0.85195,0.85678,0.94296,0.93247,0.74791,0.74941,0.54491,0.97646,0.0098713,0.0098713,0.0098713
15,399.406,0.47503,0.33973,0.85118,0.88646,0.9354,0.95063,0.77823,0.72178,0.48853,0.9732,0.0098614,0.0098614,0.0098614
16,425.501,0.47251,0.336,0.85399,0.87822,0.9509,0.93793,0.75466,0.7667,0.49323,0.99148,0.0098515,0.0098515,0.0098515
17,451.851,0.47168,0.33069,0.8514,0.86595,0.88465,0.92438,0.76078,0.69539,0.64938,0.9643,0.0098416,0.0098416,0.0098416
18,478.046,0.45985,0.32284,0.84608,0.87265,0.92119,0.93897,0.76222,0.75881,0.53127,0.98558,0.0098317,0.0098317,0.0098317
19,504.069,0.45455,0.32211,0.84542,0.90303,0.8903,0.94817,0.75799,0.77748,0.49376,0.98377,0.0098218,0.0098218,0.0098218
20,530.258,0.45596,0.31982,0.84408,0.88128,0.94949,0.94886,0.78063,0.71605,0.46017,0.98108,0.0098119,0.0098119,0.0098119
21,556.615,0.45219,0.31141,0.84381,0.86759,0.9143,0.92327,0.74226,0.76832,0.55776,0.98663,0.009802,0.009802,0.009802
22,582.871,0.443,0.30514,0.83718,0.88398,0.91731,0.93995,0.76741,0.71159,0.51991,0.96735,0.0097921,0.0097921,0.0097921
23,609.212,0.44665,0.30605,0.83987,0.83864,0.88889,0.9187,0.76517,0.71323,0.7958,0.95868,0.0097822,0.0097822,0.0097822
24,635.438,0.43488,0.30268,0.83611,0.88039,0.9354,0.94786,0.78304,0.71776,0.47995,0.96461,0.0097723,0.0097723,0.0097723
25,661.836,0.43648,0.30432,0.83816,0.85384,0.92248,0.94657,0.77094,0.72847,0.52629,0.97325,0.0097624,0.0097624,0.0097624
26,688.19,0.4305,0.29477,0.83587,0.87739,0.90568,0.94477,0.79124,0.69164,0.51457,0.95646,0.0097525,0.0097525,0.0097525
27,714.541,0.43088,0.29629,0.83617,0.85571,0.89649,0.93859,0.77747,0.67787,0.55021,0.95285,0.0097426,0.0097426,0.0097426
28,740.977,0.43119,0.29486,0.83914,0.87745,0.92502,0.94175,0.78259,0.69888,0.47777,0.95766,0.0097327,0.0097327,0.0097327
29,767.334,0.42327,0.29588,0.83482,0.85907,0.88207,0.93329,0.77019,0.72699,0.58217,0.97035,0.0097228,0.0097228,0.0097228
30,793.733,0.42613,0.29097,0.83397,0.85831,0.94703,0.93944,0.77563,0.70614,0.49887,0.97074,0.0097129,0.0097129,0.0097129
31,820.047,0.42248,0.29261,0.83711,0.84554,0.94057,0.93513,0.76533,0.70089,0.54419,0.9662,0.009703,0.009703,0.009703
32,846.199,0.41632,0.28429,0.8319,0.87582,0.91731,0.95367,0.79705,0.67802,0.47668,0.95821,0.0096931,0.0096931,0.0096931
33,872.71,0.41561,0.28657,0.82993,0.86812,0.93552,0.94676,0.78025,0.73238,0.48581,0.9679,0.0096832,0.0096832,0.0096832
34,899.002,0.41577,0.28651,0.83308,0.85091,0.84625,0.92461,0.76213,0.69655,0.61416,0.96722,0.0096733,0.0096733,0.0096733
35,925.292,0.41452,0.28527,0.83056,0.88811,0.9127,0.94346,0.79206,0.68407,0.50254,0.95208,0.0096634,0.0096634,0.0096634
36,951.671,0.41397,0.28029,0.83214,0.87974,0.94315,0.93985,0.77681,0.69808,0.50703,0.97191,0.0096535,0.0096535,0.0096535
37,977.921,0.41007,0.27922,0.82964,0.84322,0.90439,0.93855,0.76624,0.71991,0.54393,0.97221,0.0096436,0.0096436,0.0096436
38,1004.34,0.40856,0.27839,0.82955,0.87451,0.94186,0.94295,0.77539,0.71628,0.50075,0.97762,0.0096337,0.0096337,0.0096337
39,1030.57,0.40602,0.27781,0.82627,0.83964,0.89018,0.91735,0.75621,0.69814,0.54931,0.96242,0.0096238,0.0096238,0.0096238
40,1057.03,0.40549,0.27518,0.82857,0.88476,0.92506,0.95255,0.78549,0.68989,0.48062,0.9627,0.0096139,0.0096139,0.0096139
41,1082.96,0.40572,0.27322,0.82814,0.88084,0.89772,0.93855,0.78457,0.671,0.58388,0.95888,0.009604,0.009604,0.009604
42,1109.31,0.40037,0.26929,0.8245,0.87722,0.95077,0.94476,0.79262,0.69082,0.48128,0.95826,0.0095941,0.0095941,0.0095941
43,1135.51,0.40227,0.26807,0.82744,0.90241,0.9509,0.95537,0.79986,0.67824,0.41242,0.9611,0.0095842,0.0095842,0.0095842
44,1161.92,0.40057,0.27042,0.82741,0.86508,0.93023,0.93935,0.78598,0.67986,0.52697,0.95571,0.0095743,0.0095743,0.0095743
45,1188.03,0.39949,0.26802,0.82661,0.86997,0.95083,0.95385,0.7892,0.70572,0.47619,0.97131,0.0095644,0.0095644,0.0095644
46,1214.11,0.39697,0.2677,0.82062,0.90256,0.93152,0.94939,0.78836,0.70028,0.42811,0.96399,0.0095545,0.0095545,0.0095545
47,1240.31,0.3937,0.26503,0.82301,0.88603,0.91344,0.94762,0.80011,0.67501,0.49035,0.94863,0.0095446,0.0095446,0.0095446
48,1266.6,0.39338,0.2639,0.82087,0.8639,0.94315,0.95236,0.78899,0.73185,0.48625,0.97213,0.0095347,0.0095347,0.0095347
49,1292.82,0.39583,0.26712,0.8268,0.89486,0.9522,0.96354,0.81376,0.6758,0.41234,0.95173,0.0095248,0.0095248,0.0095248
50,1319.11,0.39133,0.26294,0.82282,0.87467,0.91344,0.94824,0.79019,0.70662,0.49131,0.96435,0.0095149,0.0095149,0.0095149
51,1345.56,0.3893,0.26047,0.8203,0.87721,0.94186,0.96236,0.796,0.70921,0.45587,0.96594,0.009505,0.009505,0.009505
52,1371.83,0.38836,0.26033,0.82045,0.8905,0.92248,0.95411,0.79371,0.72029,0.47708,0.96813,0.0094951,0.0094951,0.0094951
53,1398.26,0.38523,0.25619,0.82256,0.90005,0.94832,0.95764,0.80176,0.69702,0.41491,0.96004,0.0094852,0.0094852,0.0094852
54,1424.4,0.38641,0.25679,0.82142,0.8817,0.93023,0.95169,0.79676,0.67435,0.4713,0.95212,0.0094753,0.0094753,0.0094753
55,1450.77,0.38504,0.26003,0.8204,0.89698,0.93364,0.95066,0.80563,0.65657,0.43041,0.95607,0.0094654,0.0094654,0.0094654
56,1477.01,0.3856,0.25789,0.81923,0.8729,0.92636,0.95379,0.78678,0.73335,0.46593,0.9755,0.0094555,0.0094555,0.0094555
57,1503.13,0.38448,0.25413,0.82165,0.88976,0.93411,0.95479,0.80914,0.6693,0.43303,0.9575,0.0094456,0.0094456,0.0094456
58,1529.43,0.38386,0.259,0.81957,0.88431,0.93282,0.95142,0.79755,0.68383,0.43373,0.95763,0.0094357,0.0094357,0.0094357
59,1556.01,0.37828,0.25189,0.81365,0.90445,0.93023,0.95516,0.79928,0.70647,0.44146,0.96974,0.0094258,0.0094258,0.0094258
60,1582.31,0.37926,0.25364,0.82257,0.89273,0.94619,0.96046,0.80948,0.68764,0.42355,0.95793,0.0094159,0.0094159,0.0094159
61,1608.42,0.38082,0.25014,0.81793,0.90145,0.93928,0.95785,0.80342,0.68268,0.40253,0.95766,0.009406,0.009406,0.009406
62,1634.61,0.38052,0.25176,0.81658,0.88546,0.95736,0.94627,0.79318,0.6973,0.44246,0.96503,0.0093961,0.0093961,0.0093961
63,1660.92,0.37709,0.25536,0.8182,0.87112,0.92636,0.94237,0.79044,0.68941,0.49905,0.96018,0.0093862,0.0093862,0.0093862
64,1687.37,0.37914,0.25027,0.82274,0.88495,0.91602,0.94774,0.79091,0.6968,0.47734,0.96115,0.0093763,0.0093763,0.0093763
65,1713.67,0.37375,0.25087,0.81719,0.87709,0.90354,0.93914,0.78448,0.69395,0.53583,0.96553,0.0093664,0.0093664,0.0093664
66,1739.79,0.37738,0.24598,0.81491,0.89829,0.90439,0.95044,0.80049,0.67475,0.46316,0.95508,0.0093565,0.0093565,0.0093565
67,1766.15,0.3753,0.24593,0.81775,0.88437,0.93875,0.94932,0.80122,0.68094,0.42638,0.95618,0.0093466,0.0093466,0.0093466
68,1792.38,0.37088,0.24526,0.8168,0.90537,0.92506,0.95051,0.79937,0.68823,0.44501,0.96158,0.0093367,0.0093367,0.0093367
69,1818.63,0.37337,0.24928,0.81909,0.88806,0.92245,0.95167,0.79717,0.69543,0.45388,0.96783,0.0093268,0.0093268,0.0093268
70,1845.16,0.37344,0.24402,0.81459,0.8859,0.9186,0.95024,0.79872,0.67734,0.46925,0.95763,0.0093169,0.0093169,0.0093169
71,1871.46,0.37532,0.2507,0.81949,0.89126,0.93191,0.94815,0.79907,0.6765,0.43248,0.95634,0.009307,0.009307,0.009307
72,1897.83,0.37392,0.24357,0.81755,0.90321,0.90439,0.94983,0.79924,0.67853,0.46235,0.95263,0.0092971,0.0092971,0.0092971
73,1924.11,0.36677,0.24524,0.811,0.89738,0.90568,0.94828,0.79342,0.69267,0.46122,0.95667,0.0092872,0.0092872,0.0092872
74,1950.65,0.36916,0.24178,0.81064,0.88398,0.93515,0.94287,0.79867,0.67537,0.44621,0.95183,0.0092773,0.0092773,0.0092773
75,1976.99,0.36856,0.24323,0.81385,0.86063,0.92546,0.94264,0.79652,0.67349,0.49849,0.95726,0.0092674,0.0092674,0.0092674
76,2003.29,0.36999,0.24689,0.81862,0.88306,0.92506,0.95076,0.80312,0.6724,0.45045,0.95757,0.0092575,0.0092575,0.0092575
77,2029.47,0.36882,0.24393,0.81428,0.89975,0.92636,0.94889,0.80039,0.68893,0.44181,0.95961,0.0092476,0.0092476,0.0092476
78,2055.78,0.36669,0.23718,0.81545,0.89643,0.93023,0.95393,0.80803,0.67811,0.43212,0.95564,0.0092377,0.0092377,0.0092377
79,2081.92,0.36611,0.24245,0.81315,0.88935,0.92248,0.95433,0.80224,0.68729,0.44788,0.95931,0.0092278,0.0092278,0.0092278
80,2108.12,0.36456,0.23977,0.81633,0.88984,0.88711,0.9459,0.79738,0.67897,0.49573,0.952,0.0092179,0.0092179,0.0092179
81,2134.57,0.36338,0.23459,0.81226,0.88181,0.90614,0.94806,0.80443,0.68173,0.47172,0.95579,0.009208,0.009208,0.009208
82,2160.82,0.36146,0.23553,0.81157,0.8875,0.91731,0.94494,0.7998,0.68075,0.45737,0.95568,0.0091981,0.0091981,0.0091981
83,2187.14,0.35984,0.23714,0.8132,0.8679,0.94961,0.94608,0.80106,0.67682,0.4397,0.95559,0.0091882,0.0091882,0.0091882
84,2213.15,0.35875,0.23735,0.81452,0.88054,0.93411,0.94992,0.80314,0.67429,0.45309,0.95482,0.0091783,0.0091783,0.0091783
85,2239.6,0.35794,0.23856,0.81184,0.88923,0.9509,0.95627,0.81119,0.6617,0.42951,0.95126,0.0091684,0.0091684,0.0091684
86,2265.85,0.35592,0.23704,0.81024,0.89092,0.96124,0.96242,0.81263,0.67228,0.39562,0.95679,0.0091585,0.0091585,0.0091585
87,2292.07,0.36029,0.23363,0.81103,0.89424,0.9354,0.95512,0.81141,0.66764,0.42457,0.95103,0.0091486,0.0091486,0.0091486
88,2318.56,0.35834,0.23648,0.81059,0.88839,0.93023,0.95153,0.80756,0.66408,0.44079,0.95307,0.0091387,0.0091387,0.0091387
89,2344.79,0.35703,0.23417,0.81248,0.90138,0.92119,0.95538,0.80823,0.66562,0.42621,0.95347,0.0091288,0.0091288,0.0091288
90,2371.15,0.35503,0.23444,0.81378,0.88554,0.93798,0.96053,0.81454,0.66362,0.41823,0.9521,0.0091189,0.0091189,0.0091189
91,2397.37,0.35669,0.23034,0.81158,0.88214,0.9509,0.95534,0.80753,0.67192,0.42147,0.95825,0.009109,0.009109,0.009109
92,2423.76,0.35595,0.23196,0.81181,0.90178,0.93411,0.95354,0.81128,0.67139,0.42396,0.95613,0.0090991,0.0090991,0.0090991
93,2450.03,0.36,0.23255,0.80957,0.88849,0.93411,0.95372,0.80659,0.66865,0.42286,0.95402,0.0090892,0.0090892,0.0090892
94,2476.34,0.35576,0.23481,0.80968,0.90963,0.90827,0.94957,0.80217,0.66864,0.43494,0.9539,0.0090793,0.0090793,0.0090793
95,2502.56,0.35063,0.22842,0.80677,0.89545,0.9199,0.95129,0.80827,0.6613,0.43845,0.95295,0.0090694,0.0090694,0.0090694
96,2528.91,0.35232,0.22925,0.81248,0.90297,0.93023,0.95068,0.80573,0.66801,0.42567,0.95218,0.0090595,0.0090595,0.0090595
97,2555.11,0.34982,0.23003,0.80651,0.89081,0.91701,0.94938,0.80613,0.67209,0.44216,0.95288,0.0090496,0.0090496,0.0090496
98,2581.5,0.35457,0.23073,0.80848,0.89476,0.93152,0.95368,0.80943,0.673,0.41666,0.95546,0.0090397,0.0090397,0.0090397
99,2607.92,0.35038,0.22796,0.81235,0.88984,0.92377,0.94921,0.80442,0.67226,0.44889,0.95312,0.0090298,0.0090298,0.0090298
100,2634.23,0.35198,0.22683,0.80935,0.89958,0.9031,0.94696,0.80554,0.67294,0.45523,0.95264,0.0090199,0.0090199,0.0090199
101,2660.62,0.35139,0.22902,0.81023,0.89242,0.89793,0.9442,0.80009,0.67093,0.4664,0.95119,0.00901,0.00901,0.00901
102,2686.97,0.35031,0.22903,0.81025,0.89797,0.90439,0.94548,0.80102,0.67108,0.46654,0.95367,0.0090001,0.0090001,0.0090001
103,2713.3,0.34885,0.22423,0.80828,0.90263,0.89664,0.94744,0.80106,0.67022,0.46775,0.95274,0.0089902,0.0089902,0.0089902
104,2739.43,0.35479,0.23318,0.80854,0.88495,0.93416,0.94917,0.80738,0.66448,0.43347,0.94997,0.0089803,0.0089803,0.0089803
105,2765.49,0.34731,0.22637,0.80681,0.87734,0.92765,0.94979,0.80555,0.66451,0.44552,0.95107,0.0089704,0.0089704,0.0089704
106,2791.73,0.34829,0.2267,0.80977,0.90967,0.91085,0.9516,0.8087,0.66401,0.43139,0.9524,0.0089605,0.0089605,0.0089605
107,2818.17,0.34618,0.22294,0.80808,0.91111,0.90827,0.95196,0.80744,0.66181,0.4314,0.95112,0.0089506,0.0089506,0.0089506
108,2844.51,0.34767,0.2249,0.80963,0.90391,0.9115,0.94946,0.80413,0.66686,0.44374,0.95321,0.0089407,0.0089407,0.0089407
109,2870.97,0.34638,0.22566,0.80845,0.88997,0.90913,0.94592,0.79829,0.67151,0.45929,0.95549,0.0089308,0.0089308,0.0089308
110,2897.29,0.34556,0.2246,0.80829,0.89604,0.91473,0.94618,0.79908,0.67011,0.4551,0.95553,0.0089209,0.0089209,0.0089209
111,2923.58,0.34673,0.22556,0.80698,0.89606,0.91333,0.9445,0.79835,0.66828,0.46416,0.95571,0.008911,0.008911,0.008911
112,2949.95,0.34536,0.22565,0.80594,0.88487,0.91355,0.94446,0.7979,0.66481,0.46695,0.95435,0.0089011,0.0089011,0.0089011
113,2976.08,0.34481,0.22406,0.80717,0.89679,0.89804,0.94351,0.79853,0.66102,0.47308,0.95423,0.0088912,0.0088912,0.0088912
114,3002.4,0.34184,0.22458,0.80355,0.8986,0.89406,0.94391,0.80085,0.66059,0.47581,0.95443,0.0088813,0.0088813,0.0088813
115,3028.74,0.34524,0.22375,0.80768,0.87964,0.9186,0.94523,0.80351,0.66052,0.46951,0.95463,0.0088714,0.0088714,0.0088714
116,3055.11,0.34545,0.22475,0.80888,0.89893,0.90181,0.94578,0.80489,0.6602,0.45072,0.95427,0.0088615,0.0088615,0.0088615
117,3081.38,0.34547,0.22451,0.80776,0.86384,0.94315,0.94686,0.80495,0.66182,0.4471,0.95447,0.0088516,0.0088516,0.0088516
118,3107.57,0.3413,0.22321,0.80839,0.88332,0.92636,0.94597,0.80296,0.66532,0.44639,0.95633,0.0088417,0.0088417,0.0088417
119,3133.8,0.33987,0.21931,0.80602,0.89084,0.91344,0.94707,0.80185,0.66724,0.45573,0.95688,0.0088318,0.0088318,0.0088318
