epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2535,0.75469,1.12273,0.92344,0.91925,0.8613,0.94483,0.77336,0.78121,0.70458,0.91225,0.00333136,0.00333136,0.00333136
2,166.877,0.7194,0.65585,0.91222,0.94262,0.91866,0.96206,0.80545,0.71738,0.58903,0.89057,0.0066581,0.0066581,0.0066581
3,248.125,0.77292,0.66605,0.94675,0.93646,0.88487,0.95245,0.74581,0.86219,0.65116,0.96296,0.00997823,0.00997823,0.00997823
4,326.649,0.75815,0.59246,0.95779,0.93045,0.91447,0.96674,0.78135,0.74058,0.55103,0.92247,0.0099703,0.0099703,0.0099703
5,403.696,0.69547,0.54785,0.93216,0.92788,0.95066,0.97219,0.82067,0.64922,0.493,0.89122,0.0099604,0.0099604,0.0099604
6,482.058,0.65422,0.50667,0.92092,0.95693,0.95,0.98131,0.82756,0.69911,0.45884,0.89393,0.0099505,0.0099505,0.0099505
7,556.049,0.63397,0.47668,0.91021,0.95679,0.94687,0.98317,0.83136,0.65633,0.4151,0.88553,0.0099406,0.0099406,0.0099406
8,632.847,0.59784,0.43898,0.89948,0.96371,0.96098,0.98637,0.84059,0.63946,0.40291,0.87127,0.0099307,0.0099307,0.0099307
9,714.171,0.58616,0.42573,0.89634,0.92948,0.95379,0.98379,0.84486,0.60869,0.4076,0.86305,0.0099208,0.0099208,0.0099208
10,793.919,0.56285,0.39789,0.88362,0.89829,0.97039,0.97196,0.83819,0.58396,0.42808,0.85816,0.0099109,0.0099109,0.0099109
11,869.355,0.55328,0.39034,0.88276,0.94505,0.97697,0.98312,0.8655,0.58061,0.36614,0.84923,0.009901,0.009901,0.009901
12,945.141,0.54391,0.39452,0.87497,0.92506,0.93396,0.98145,0.8411,0.61449,0.43556,0.85972,0.0098911,0.0098911,0.0098911
13,1025.84,0.53127,0.38436,0.87425,0.94646,0.97368,0.98586,0.87555,0.53495,0.35678,0.83141,0.0098812,0.0098812,0.0098812
14,1103.23,0.52289,0.36577,0.87051,0.91502,0.99013,0.98019,0.86406,0.54234,0.36134,0.833,0.0098713,0.0098713,0.0098713
15,1180.71,0.51465,0.36304,0.86427,0.96898,0.95066,0.9865,0.86526,0.56512,0.37574,0.83965,0.0098614,0.0098614,0.0098614
16,1258.11,0.51559,0.35327,0.86664,0.93998,0.97881,0.97716,0.85796,0.56804,0.41294,0.84155,0.0098515,0.0098515,0.0098515
17,1335.62,0.50428,0.35522,0.86318,0.94254,0.97126,0.9848,0.86322,0.56929,0.37568,0.84205,0.0098416,0.0098416,0.0098416
18,1413.48,0.49271,0.3428,0.85903,0.9415,0.95289,0.97055,0.86972,0.54445,0.39103,0.83673,0.0098317,0.0098317,0.0098317
19,1491.08,0.49443,0.34307,0.86029,0.96127,0.97982,0.98944,0.87596,0.54656,0.34799,0.83932,0.0098218,0.0098218,0.0098218
20,1568.24,0.48333,0.32995,0.85161,0.9454,0.92105,0.97883,0.86639,0.52115,0.43749,0.83107,0.0098119,0.0098119,0.0098119
21,1646.59,0.48166,0.3306,0.85612,0.92376,0.95651,0.98399,0.87487,0.53881,0.3774,0.83296,0.009802,0.009802,0.009802
22,1724.61,0.47816,0.32753,0.85338,0.94788,0.97039,0.98758,0.87971,0.54075,0.32921,0.82533,0.0097921,0.0097921,0.0097921
23,1802.82,0.47369,0.31864,0.85185,0.94806,0.98355,0.98611,0.88068,0.52744,0.32798,0.83164,0.0097822,0.0097822,0.0097822
24,1880.53,0.47314,0.33166,0.85127,0.92938,0.98026,0.98535,0.8724,0.54063,0.33536,0.83247,0.0097723,0.0097723,0.0097723
