epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8957,0.7477,2.1856,0.96146,0.7662,0.85271,0.87905,0.65661,0.86651,1.04396,1.0363,0.00332909,0.00332909,0.00332909
2,75.9505,0.67871,0.85368,0.92871,0.78535,0.85557,0.89572,0.67333,0.9112,0.81864,1.02542,0.00665583,0.00665583,0.00665583
3,110.982,0.69833,0.66175,0.93783,0.85904,0.84238,0.90699,0.68454,0.9351,0.75751,1.02862,0.00997597,0.00997597,0.00997597
4,145.091,0.68323,0.55814,0.93181,0.84223,0.86902,0.90537,0.68618,0.87962,0.74209,1.02477,0.0099703,0.0099703,0.0099703
5,179.733,0.631,0.49495,0.91056,0.85302,0.90725,0.93345,0.73315,0.80271,0.78466,1.00958,0.0099604,0.0099604,0.0099604
6,214.736,0.59424,0.45767,0.89442,0.87022,0.91214,0.93051,0.74304,0.78857,0.59955,0.99335,0.0099505,0.0099505,0.0099505
7,248.969,0.56819,0.42307,0.88462,0.88462,0.92125,0.93884,0.75306,0.79328,0.55804,0.99163,0.0099406,0.0099406,0.0099406
8,283.431,0.5544,0.41124,0.87757,0.85796,0.8062,0.88347,0.69407,0.82939,1.13763,1.0049,0.0099307,0.0099307,0.0099307
9,317.961,0.54101,0.39799,0.87882,0.89397,0.92594,0.95767,0.78201,0.72701,0.55686,0.97882,0.0099208,0.0099208,0.0099208
10,352.835,0.53165,0.3876,0.8692,0.90326,0.91677,0.95721,0.77551,0.79745,0.48361,0.99196,0.0099109,0.0099109,0.0099109
11,387.334,0.51751,0.37325,0.86717,0.81329,0.91344,0.91878,0.75488,0.73085,0.61521,0.97247,0.009901,0.009901,0.009901
12,421.91,0.50599,0.37501,0.86389,0.86846,0.92894,0.94307,0.76628,0.73608,0.58772,0.98222,0.0098911,0.0098911,0.0098911
13,456.837,0.50451,0.36296,0.86183,0.84248,0.81137,0.88402,0.7237,0.73302,1.03954,0.96584,0.0098812,0.0098812,0.0098812
14,491.523,0.49448,0.35487,0.85895,0.86793,0.95094,0.95244,0.77287,0.78325,0.48402,0.98582,0.0098713,0.0098713,0.0098713
15,525.965,0.49056,0.35368,0.86104,0.88253,0.94315,0.94424,0.76651,0.72947,0.48938,0.98143,0.0098614,0.0098614,0.0098614
16,560.294,0.48476,0.34214,0.85809,0.86264,0.85192,0.93071,0.76075,0.75577,0.68913,0.97408,0.0098515,0.0098515,0.0098515
17,594.843,0.4807,0.33978,0.84995,0.87838,0.91446,0.95012,0.77496,0.70337,0.5422,0.96389,0.0098416,0.0098416,0.0098416
18,629.674,0.46967,0.32861,0.85372,0.86726,0.93697,0.94288,0.76129,0.75264,0.51143,0.98541,0.0098317,0.0098317,0.0098317
19,664.458,0.47175,0.33131,0.8508,0.85187,0.90568,0.93987,0.76346,0.74159,0.56947,0.98557,0.0098218,0.0098218,0.0098218
20,699.17,0.46296,0.32674,0.84406,0.88099,0.94961,0.94485,0.78441,0.7063,0.49724,0.96401,0.0098119,0.0098119,0.0098119
21,733.651,0.46129,0.31936,0.84579,0.90723,0.92377,0.95543,0.78406,0.70501,0.43647,0.97261,0.009802,0.009802,0.009802
22,768.494,0.45806,0.31418,0.84776,0.87465,0.95561,0.94591,0.76956,0.74831,0.47744,0.97259,0.0097921,0.0097921,0.0097921
