filename,path,pred,conf,second,second_conf,status
006062.jpg,006062.jpg,swd,1.0000,others,0.0000,unknown_class
003981.jpg,003981.jpg,swd,1.0000,others,0.0000,unknown_class
001510.jpg,001510.jpg,swd,1.0000,others,0.0000,unknown_class
000201.jpg,000201.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000334.jpg,000334.jpg,swd,1.0000,others,0.0000,unknown_class
001815.jpg,001815.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001255.jpg,001255.jpg,swd,1.0000,mayswd,0.0000,unknown_class
005841.jpg,005841.jpg,swd,1.0000,others,0.0000,unknown_class
000746.jpg,000746.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002158.jpg,002158.jpg,swd,1.0000,others,0.0000,unknown_class
002672.jpg,002672.jpg,swd,1.0000,others,0.0000,unknown_class
002527.jpg,002527.jpg,swd,1.0000,others,0.0000,unknown_class
001650.jpg,001650.jpg,swd,1.0000,others,0.0000,unknown_class
002630.jpg,002630.jpg,swd,1.0000,others,0.0000,unknown_class
002056.jpg,002056.jpg,swd,1.0000,others,0.0000,unknown_class
000165.jpg,000165.jpg,swd,1.0000,others,0.0000,unknown_class
000221.jpg,000221.jpg,swd,1.0000,others,0.0000,unknown_class
000679.jpg,000679.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002788.jpg,002788.jpg,swd,1.0000,others,0.0000,unknown_class
000751.jpg,000751.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000575.jpg,000575.jpg,swd,1.0000,others,0.0000,unknown_class
005792.jpg,005792.jpg,swd,1.0000,others,0.0000,unknown_class
000417.jpg,000417.jpg,swd,1.0000,others,0.0000,unknown_class
000157.jpg,000157.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000631.jpg,000631.jpg,swd,1.0000,others,0.0000,unknown_class
007247.jpg,007247.jpg,swd,1.0000,others,0.0000,unknown_class
001516.jpg,001516.jpg,swd,1.0000,others,0.0000,unknown_class
001504.jpg,001504.jpg,swd,1.0000,others,0.0000,unknown_class
005776.jpg,005776.jpg,swd,1.0000,others,0.0000,unknown_class
002203.jpg,002203.jpg,swd,1.0000,others,0.0000,unknown_class
001599.jpg,001599.jpg,swd,1.0000,others,0.0000,unknown_class
002337.jpg,002337.jpg,swd,1.0000,others,0.0000,unknown_class
002981.jpg,002981.jpg,swd,1.0000,others,0.0000,unknown_class
002966.jpg,002966.jpg,swd,1.0000,others,0.0000,unknown_class
001459.jpg,001459.jpg,swd,1.0000,others,0.0000,unknown_class
000579.jpg,000579.jpg,swd,1.0000,others,0.0000,unknown_class
000193.jpg,000193.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000793.jpg,000793.jpg,swd,1.0000,others,0.0000,unknown_class
005066.jpg,005066.jpg,swd,1.0000,others,0.0000,unknown_class
001932.jpg,001932.jpg,swd,1.0000,others,0.0000,unknown_class
000787.jpg,000787.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002147.jpg,002147.jpg,swd,1.0000,others,0.0000,unknown_class
000451.jpg,000451.jpg,swd,1.0000,mayswd,0.0000,unknown_class
003847.jpg,003847.jpg,swd,1.0000,others,0.0000,unknown_class
000348.jpg,000348.jpg,swd,1.0000,others,0.0000,unknown_class
000490.jpg,000490.jpg,swd,1.0000,mayswd,0.0000,unknown_class
006419.jpg,006419.jpg,swd,1.0000,others,0.0000,unknown_class
005509.jpg,005509.jpg,swd,1.0000,others,0.0000,unknown_class
005736.jpg,005736.jpg,swd,1.0000,others,0.0000,unknown_class
003898.jpg,003898.jpg,swd,1.0000,others,0.0000,unknown_class
005730.jpg,005730.jpg,swd,1.0000,others,0.0000,unknown_class
004746.jpg,004746.jpg,swd,1.0000,others,0.0000,unknown_class
005832.jpg,005832.jpg,swd,1.0000,others,0.0000,unknown_class
001481.jpg,001481.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001308.jpg,001308.jpg,mayswd,1.0000,others,0.0000,unknown_class
000365.jpg,000365.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000330.jpg,000330.jpg,swd,1.0000,others,0.0000,unknown_class
000669.jpg,000669.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001556.jpg,001556.jpg,swd,1.0000,others,0.0000,unknown_class
001894.jpg,001894.jpg,swd,1.0000,mayswd,0.0000,unknown_class
003379.jpg,003379.jpg,swd,1.0000,others,0.0000,unknown_class
001178.jpg,001178.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000834.jpg,000834.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000076.jpg,000076.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002143.jpg,002143.jpg,swd,1.0000,others,0.0000,unknown_class
002024.jpg,002024.jpg,swd,1.0000,others,0.0000,unknown_class
003491.jpg,003491.jpg,swd,1.0000,others,0.0000,unknown_class
001760.jpg,001760.jpg,swd,1.0000,others,0.0000,unknown_class
003481.jpg,003481.jpg,swd,1.0000,others,0.0000,unknown_class
005550.jpg,005550.jpg,swd,1.0000,others,0.0000,unknown_class
000777.jpg,000777.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002501.jpg,002501.jpg,swd,1.0000,others,0.0000,unknown_class
002780.jpg,002780.jpg,swd,1.0000,others,0.0000,unknown_class
002202.jpg,002202.jpg,swd,1.0000,others,0.0000,unknown_class
001514.jpg,001514.jpg,swd,1.0000,others,0.0000,unknown_class
002087.jpg,002087.jpg,swd,1.0000,others,0.0000,unknown_class
000224.jpg,000224.jpg,swd,1.0000,others,0.0000,unknown_class
000953.jpg,000953.jpg,swd,1.0000,others,0.0000,unknown_class
001172.jpg,001172.jpg,swd,1.0000,others,0.0000,unknown_class
001159.jpg,001159.jpg,swd,1.0000,others,0.0000,unknown_class
000670.jpg,000670.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000156.jpg,000156.jpg,swd,1.0000,others,0.0000,unknown_class
000867.jpg,000867.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000633.jpg,000633.jpg,swd,1.0000,others,0.0000,unknown_class
002675.jpg,002675.jpg,swd,1.0000,others,0.0000,unknown_class
006358.jpg,006358.jpg,swd,1.0000,others,0.0000,unknown_class
003571.jpg,003571.jpg,swd,1.0000,others,0.0000,unknown_class
000289.jpg,000289.jpg,swd,1.0000,others,0.0000,unknown_class
001524.jpg,001524.jpg,swd,1.0000,others,0.0000,unknown_class
000525.jpg,000525.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000690.jpg,000690.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001928.jpg,001928.jpg,swd,1.0000,others,0.0000,unknown_class
001541.jpg,001541.jpg,swd,1.0000,others,0.0000,unknown_class
000791.jpg,000791.jpg,swd,1.0000,others,0.0000,unknown_class
002589.jpg,002589.jpg,swd,1.0000,others,0.0000,unknown_class
002076.jpg,002076.jpg,swd,1.0000,others,0.0000,unknown_class
000869.jpg,000869.jpg,swd,1.0000,others,0.0000,unknown_class
001088.jpg,001088.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002194.jpg,002194.jpg,swd,1.0000,others,0.0000,unknown_class
000063.jpg,000063.jpg,swd,1.0000,others,0.0000,unknown_class
000248.jpg,000248.jpg,swd,1.0000,others,0.0000,unknown_class
004094.jpg,004094.jpg,swd,1.0000,others,0.0000,unknown_class
000066.jpg,000066.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001143.jpg,001143.jpg,mayswd,1.0000,others,0.0000,unknown_class
002571.jpg,002571.jpg,swd,1.0000,others,0.0000,unknown_class
002609.jpg,002609.jpg,swd,1.0000,others,0.0000,unknown_class
001332.jpg,001332.jpg,swd,1.0000,others,0.0000,unknown_class
001926.jpg,001926.jpg,swd,1.0000,others,0.0000,unknown_class
000780.jpg,000780.jpg,swd,1.0000,others,0.0000,unknown_class
002344.jpg,002344.jpg,swd,1.0000,others,0.0000,unknown_class
006252.jpg,006252.jpg,swd,1.0000,others,0.0000,unknown_class
001260.jpg,001260.jpg,swd,1.0000,others,0.0000,unknown_class
005300.jpg,005300.jpg,swd,1.0000,others,0.0000,unknown_class
002007.jpg,002007.jpg,swd,1.0000,others,0.0000,unknown_class
001173.jpg,001173.jpg,swd,1.0000,others,0.0000,unknown_class
007947.jpg,007947.jpg,swd,1.0000,others,0.0000,unknown_class
000955.jpg,000955.jpg,swd,1.0000,others,0.0000,unknown_class
006951.jpg,006951.jpg,others,1.0000,swd,0.0000,unknown_class
005142.jpg,005142.jpg,others,1.0000,swd,0.0000,unknown_class
001431.jpg,001431.jpg,swd,1.0000,others,0.0000,unknown_class
001227.jpg,001227.jpg,swd,1.0000,others,0.0000,unknown_class
000719.jpg,000719.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000213.jpg,000213.jpg,swd,1.0000,others,0.0000,unknown_class
001167.jpg,001167.jpg,swd,1.0000,others,0.0000,unknown_class
002083.jpg,002083.jpg,swd,1.0000,others,0.0000,unknown_class
001012.jpg,001012.jpg,swd,1.0000,others,0.0000,unknown_class
