datetime,count
2024-06-05T11:33:00,0
2024-06-05T12:01:00,0
2024-06-05T12:31:00,0
2024-06-05T13:01:00,0
2024-06-05T13:31:00,0
2024-06-05T14:01:00,0
2024-06-05T14:31:00,0
2024-06-05T15:01:00,0
2024-06-05T15:31:00,0
2024-06-05T16:01:00,0
2024-06-05T16:31:00,0
2024-06-05T17:01:00,0
2024-06-05T17:31:00,0
2024-06-05T18:01:00,0
2024-06-05T18:31:00,0
2024-06-05T19:01:00,0
2024-06-05T19:31:00,0
2024-06-05T20:01:00,0
2024-06-05T20:31:00,0
2024-06-06T06:02:00,0
2024-06-06T06:31:00,0
2024-06-06T07:01:00,0
2024-06-06T07:31:00,0
2024-06-06T08:01:00,0
2024-06-06T08:31:00,0
2024-06-06T09:01:00,0
2024-06-06T09:31:00,0
2024-06-06T10:01:00,0
2024-06-06T10:31:00,0
2024-06-06T11:01:00,0
2024-06-06T11:31:00,0
2024-06-06T12:01:00,0
2024-06-06T12:31:00,0
2024-06-06T13:01:00,0
2024-06-06T13:31:00,0
2024-06-06T14:01:00,0
2024-06-06T14:31:00,0
2024-06-06T15:01:00,0
2024-06-06T15:31:00,1
2024-06-06T16:01:00,1
2024-06-06T16:31:00,1
2024-06-06T17:01:00,1
2024-06-06T17:31:00,1
2024-06-06T18:01:00,1
2024-06-06T18:31:00,1
2024-06-06T19:01:00,0
2024-06-06T19:31:00,0
2024-06-06T20:01:00,0
2024-06-06T20:31:00,2
2024-06-07T06:02:00,0
2024-06-07T06:31:00,0
2024-06-07T07:01:00,0
2024-06-07T07:31:00,4
2024-06-07T08:01:00,3
2024-06-07T08:31:00,4
2024-06-07T09:01:00,6
2024-06-07T09:31:00,6
2024-06-07T10:01:00,5
2024-06-07T10:31:00,4
2024-06-07T11:01:00,3
2024-06-07T11:31:00,2
2024-06-07T12:01:00,2
2024-06-07T12:31:00,4
2024-06-07T13:01:00,3
2024-06-07T13:31:00,4
2024-06-07T14:01:00,3
2024-06-07T14:31:00,1
2024-06-07T15:01:00,1
2024-06-07T15:31:00,2
2024-06-07T16:01:00,0
2024-06-07T16:31:00,2
2024-06-07T17:01:00,2
2024-06-07T17:31:00,2
2024-06-07T18:01:00,2
2024-06-07T18:31:00,0
2024-06-07T19:01:00,0
2024-06-07T19:31:00,0
2024-06-07T20:01:00,1
2024-06-07T20:31:00,0
2024-06-08T06:02:00,0
2024-06-08T06:31:00,0
2024-06-08T07:01:00,0
2024-06-08T07:31:00,0
2024-06-08T08:01:00,0
