path,datetime,focal,resolution,date,time,gap_time
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1133_700.jpg,2024-06-05 11:33:00,700,4656x3496,2024-06-05,11:33:00,
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1201_700.jpg,2024-06-05 12:01:00,700,4656x3496,2024-06-05,12:01:00,28.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1231_700.jpg,2024-06-05 12:31:00,700,4656x3496,2024-06-05,12:31:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1301_700.jpg,2024-06-05 13:01:00,700,4656x3496,2024-06-05,13:01:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1331_700.jpg,2024-06-05 13:31:00,700,4656x3496,2024-06-05,13:31:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1401_700.jpg,2024-06-05 14:01:00,700,4656x3496,2024-06-05,14:01:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1431_700.jpg,2024-06-05 14:31:00,700,4656x3496,2024-06-05,14:31:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1501_700.jpg,2024-06-05 15:01:00,700,4656x3496,2024-06-05,15:01:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1531_700.jpg,2024-06-05 15:31:00,700,4656x3496,2024-06-05,15:31:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1601_700.jpg,2024-06-05 16:01:00,700,4656x3496,2024-06-05,16:01:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1631_700.jpg,2024-06-05 16:31:00,700,4656x3496,2024-06-05,16:31:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1701_700.jpg,2024-06-05 17:01:00,700,4656x3496,2024-06-05,17:01:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1731_700.jpg,2024-06-05 17:31:00,700,4656x3496,2024-06-05,17:31:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1801_700.jpg,2024-06-05 18:01:00,700,4656x3496,2024-06-05,18:01:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1831_700.jpg,2024-06-05 18:31:00,700,4656x3496,2024-06-05,18:31:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1901_700.jpg,2024-06-05 19:01:00,700,4656x3496,2024-06-05,19:01:00,30.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0605_1931_700.jpg,2024-06-05 19:31:00,700,4656x3496,2024-06-05,19:31:00,30.0
