datetime,count
2024-07-06T06:09:00,0
2024-07-06T06:38:00,1
2024-07-06T07:08:00,1
2024-07-06T07:38:00,1
2024-07-06T08:08:00,1
2024-07-06T08:38:00,0
2024-07-06T09:08:00,0
2024-07-06T09:38:00,0
2024-07-06T10:08:00,0
2024-07-06T10:38:00,0
2024-07-06T11:08:00,0
2024-07-06T11:38:00,0
2024-07-06T12:08:00,0
2024-07-06T12:38:00,0
2024-07-06T13:08:00,0
2024-07-06T13:38:00,0
2024-07-06T14:08:00,1
2024-07-06T14:38:00,0
2024-07-06T15:08:00,0
2024-07-06T15:38:00,0
2024-07-06T16:08:00,1
2024-07-06T16:38:00,1
2024-07-06T17:08:00,1
2024-07-06T17:38:00,2
2024-07-06T18:08:00,1
2024-07-06T18:38:00,2
2024-07-06T19:08:00,1
2024-07-06T19:38:00,2
2024-07-06T20:08:00,1
2024-07-06T20:38:00,0
2024-07-07T06:09:00,1
2024-07-07T06:39:00,2
2024-07-07T07:09:00,0
2024-07-07T07:39:00,0
2024-07-07T08:09:00,0
2024-07-07T08:39:00,0
2024-07-07T09:09:00,0
2024-07-07T09:39:00,0
2024-07-07T10:09:00,0
2024-07-07T10:39:00,0
2024-07-07T11:09:00,0
2024-07-07T11:39:00,0
2024-07-07T12:09:00,0
2024-07-07T12:39:00,0
2024-07-07T13:09:00,0
2024-07-07T13:39:00,0
2024-07-07T14:09:00,0
2024-07-07T14:39:00,0
2024-07-07T15:09:00,0
2024-07-07T15:39:00,1
2024-07-07T16:09:00,1
2024-07-07T16:39:00,0
2024-07-07T17:09:00,0
2024-07-07T17:39:00,0
2024-07-07T18:09:00,0
2024-07-07T18:39:00,0
2024-07-07T19:09:00,0
2024-07-07T19:39:00,0
2024-07-07T20:09:00,0
2024-07-07T20:39:00,0
2024-07-08T06:05:00,0
2024-07-08T06:34:00,0
2024-07-08T07:04:00,0
2024-07-08T07:34:00,0
2024-07-08T08:04:00,1
2024-07-08T08:34:00,0
2024-07-08T09:04:00,0
2024-07-08T09:34:00,1
2024-07-08T10:04:00,0
2024-07-08T10:34:00,0
2024-07-08T11:04:00,0
2024-07-08T11:34:00,0
2024-07-08T12:04:00,1
2024-07-08T12:34:00,1
2024-07-08T13:04:00,1
2024-07-08T13:34:00,1
2024-07-08T14:04:00,0
2024-07-08T14:34:00,1
2024-07-08T15:04:00,0
2024-07-08T15:34:00,0
2024-07-08T16:04:00,0
2024-07-08T16:34:00,0
2024-07-08T17:04:00,0
2024-07-08T17:34:00,1
2024-07-08T18:04:00,2
2024-07-08T18:34:00,1
2024-07-08T19:04:00,3
2024-07-08T19:34:00,0
2024-07-08T20:04:00,2
2024-07-08T20:34:00,0
2024-07-09T06:05:00,0
2024-07-09T06:34:00,0
2024-07-09T07:04:00,0
2024-07-09T07:34:00,0
2024-07-09T08:04:00,0
2024-07-09T08:34:00,0
2024-07-09T09:04:00,1
2024-07-09T09:34:00,1
