epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6815,0.82124,1.47559,0.92131,0.86802,0.77831,0.9026,0.75609,0.69481,0.73387,0.88643,0.00332389,0.00332389,0.00332389
2,77.3984,0.69722,0.63418,0.88452,0.87991,0.88916,0.95045,0.74962,0.7934,0.6862,0.93014,0.00665063,0.00665063,0.00665063
3,113.492,0.75141,0.64656,0.91289,0.81427,0.90147,0.935,0.75207,0.73272,0.66445,0.93518,0.00997078,0.00997078,0.00997078
4,149.302,0.74112,0.59635,0.92991,0.86806,0.6236,0.77422,0.59321,0.92155,1.69862,1.03457,0.0099703,0.0099703,0.0099703
5,185.428,0.69049,0.53573,0.91386,0.90739,0.86747,0.93784,0.8009,0.64683,0.5836,0.92306,0.0099604,0.0099604,0.0099604
6,221.425,0.65146,0.50407,0.89822,0.84344,0.85221,0.92803,0.78885,0.65434,0.63672,0.91089,0.0099505,0.0099505,0.0099505
7,257.377,0.62349,0.4724,0.89003,0.91809,0.86586,0.9452,0.82506,0.59579,0.52879,0.89548,0.0099406,0.0099406,0.0099406
8,293.404,0.61046,0.45253,0.87973,0.96585,0.93414,0.98405,0.87881,0.56292,0.40352,0.88635,0.0099307,0.0099307,0.0099307
9,329.05,0.59453,0.43631,0.8727,0.9281,0.94056,0.97925,0.87936,0.51976,0.45033,0.86491,0.0099208,0.0099208,0.0099208
10,364.82,0.58386,0.4191,0.87157,0.95395,0.93735,0.98642,0.84388,0.65017,0.43499,0.92801,0.0099109,0.0099109,0.0099109
11,400.559,0.56775,0.40896,0.86624,0.95642,0.92369,0.98463,0.9059,0.45292,0.42274,0.84371,0.009901,0.009901,0.009901
12,436.666,0.55622,0.39541,0.86206,0.97065,0.97108,0.98988,0.89774,0.48165,0.35446,0.85264,0.0098911,0.0098911,0.0098911
13,472.432,0.54567,0.38864,0.85697,0.93538,0.93092,0.97105,0.86093,0.52071,0.50032,0.86655,0.0098812,0.0098812,0.0098812
14,508.254,0.53495,0.37971,0.85284,0.95882,0.97249,0.98703,0.88444,0.52518,0.35937,0.86671,0.0098713,0.0098713,0.0098713
15,543.997,0.53602,0.38188,0.85637,0.92551,0.89816,0.96158,0.84123,0.55785,0.66519,0.87123,0.0098614,0.0098614,0.0098614
16,579.805,0.52811,0.3716,0.85038,0.95361,0.95422,0.98592,0.90346,0.47383,0.36314,0.85033,0.0098515,0.0098515,0.0098515
17,615.539,0.51528,0.36078,0.84847,0.97166,0.964,0.99015,0.89399,0.50727,0.33018,0.85085,0.0098416,0.0098416,0.0098416
18,651.437,0.51033,0.3531,0.84539,0.96955,0.96627,0.98939,0.88356,0.51774,0.34263,0.86016,0.0098317,0.0098317,0.0098317
19,687.391,0.50469,0.34922,0.84423,0.96014,0.96145,0.98927,0.88594,0.51795,0.35891,0.85809,0.0098218,0.0098218,0.0098218
20,723.189,0.50366,0.35277,0.84575,0.97391,0.94859,0.9879,0.90453,0.45685,0.3381,0.83882,0.0098119,0.0098119,0.0098119
21,759.035,0.49508,0.34606,0.84149,0.94622,0.9752,0.98728,0.90494,0.45812,0.32998,0.84411,0.009802,0.009802,0.009802
22,794.958,0.49028,0.34183,0.84152,0.91939,0.88863,0.96417,0.88937,0.43461,0.50899,0.83527,0.0097921,0.0097921,0.0097921
23,830.821,0.48572,0.33319,0.8404,0.97715,0.96181,0.99065,0.90603,0.46165,0.30747,0.83408,0.0097822,0.0097822,0.0097822
24,866.489,0.48604,0.33224,0.84168,0.95491,0.97028,0.98963,0.92434,0.42433,0.30963,0.83505,0.0097723,0.0097723,0.0097723
25,902.266,0.48068,0.32849,0.83853,0.95636,0.96809,0.98751,0.9057,0.47704,0.34618,0.84477,0.0097624,0.0097624,0.0097624
26,938.225,0.47401,0.3254,0.83752,0.95444,0.89186,0.98016,0.88272,0.4959,0.45766,0.85171,0.0097525,0.0097525,0.0097525
27,974.057,0.47195,0.32072,0.83406,0.94532,0.9581,0.98689,0.90667,0.44811,0.34197,0.83552,0.0097426,0.0097426,0.0097426
28,1009.81,0.46716,0.31985,0.83661,0.9671,0.96815,0.99117,0.91355,0.45217,0.33598,0.83248,0.0097327,0.0097327,0.0097327
29,1045.55,0.46633,0.31782,0.83325,0.95074,0.87309,0.96309,0.86853,0.5085,0.56543,0.85511,0.0097228,0.0097228,0.0097228
30,1081.66,0.46045,0.31381,0.83021,0.95601,0.90602,0.98087,0.89621,0.47465,0.42056,0.84309,0.0097129,0.0097129,0.0097129
31,1117.45,0.46017,0.30888,0.82958,0.96541,0.96787,0.98819,0.9013,0.46778,0.33294,0.83882,0.009703,0.009703,0.009703
32,1153.24,0.45827,0.31195,0.82753,0.96886,0.95743,0.98925,0.90598,0.46298,0.32552,0.84511,0.0096931,0.0096931,0.0096931
33,1189.15,0.45599,0.31216,0.82907,0.9171,0.91084,0.97381,0.89748,0.4336,0.42407,0.82683,0.0096832,0.0096832,0.0096832
34,1225.01,0.45067,0.3056,0.82989,0.95665,0.95422,0.98698,0.91841,0.41784,0.32891,0.82672,0.0096733,0.0096733,0.0096733
35,1260.91,0.45086,0.30459,0.82734,0.97336,0.96225,0.99117,0.91714,0.44765,0.29231,0.83662,0.0096634,0.0096634,0.0096634
36,1296.63,0.44638,0.30418,0.8256,0.94712,0.9245,0.98169,0.90349,0.44072,0.44776,0.83194,0.0096535,0.0096535,0.0096535
37,1332.62,0.44409,0.30069,0.82472,0.95153,0.96188,0.98734,0.93196,0.39062,0.29519,0.81739,0.0096436,0.0096436,0.0096436
38,1368.51,0.44059,0.29781,0.82511,0.94922,0.96098,0.98486,0.91106,0.44252,0.36025,0.83472,0.0096337,0.0096337,0.0096337
39,1404.28,0.43851,0.29335,0.82093,0.98333,0.95823,0.99011,0.91683,0.43052,0.28757,0.82578,0.0096238,0.0096238,0.0096238
40,1440.25,0.43935,0.29343,0.82612,0.93242,0.95308,0.98546,0.93301,0.39178,0.33428,0.81928,0.0096139,0.0096139,0.0096139
41,1475.98,0.43676,0.29405,0.82386,0.96786,0.96948,0.98992,0.93206,0.41905,0.27953,0.82842,0.009604,0.009604,0.009604
42,1511.72,0.43219,0.28804,0.82329,0.94565,0.93632,0.98487,0.937,0.3925,0.32374,0.82246,0.0095941,0.0095941,0.0095941
43,1547.77,0.42971,0.28741,0.8228,0.9472,0.95096,0.98644,0.92421,0.41794,0.31941,0.82458,0.0095842,0.0095842,0.0095842
44,1583.54,0.42909,0.28766,0.82257,0.95221,0.96022,0.98949,0.93933,0.38255,0.30574,0.81962,0.0095743,0.0095743,0.0095743
45,1619.37,0.43082,0.29062,0.82149,0.95,0.95341,0.98578,0.92838,0.39462,0.3246,0.82054,0.0095644,0.0095644,0.0095644
46,1655.11,0.42504,0.28356,0.81967,0.96307,0.94699,0.98785,0.92512,0.41877,0.32147,0.82707,0.0095545,0.0095545,0.0095545
47,1691.08,0.42587,0.28682,0.81832,0.97004,0.96235,0.99112,0.92243,0.43762,0.28945,0.82997,0.0095446,0.0095446,0.0095446
48,1726.89,0.42105,0.28321,0.81781,0.9382,0.94859,0.98278,0.92185,0.41059,0.39287,0.8248,0.0095347,0.0095347,0.0095347
49,1762.66,0.42088,0.2818,0.81851,0.94419,0.97269,0.98879,0.9279,0.41006,0.3071,0.8226,0.0095248,0.0095248,0.0095248
50,1798.55,0.41706,0.27965,0.81936,0.96251,0.96627,0.99046,0.93615,0.39864,0.28041,0.81807,0.0095149,0.0095149,0.0095149
51,1834.33,0.4161,0.27934,0.82005,0.96329,0.9695,0.991,0.92608,0.43211,0.29892,0.82816,0.009505,0.009505,0.009505
52,1870.08,0.41646,0.28088,0.81993,0.95418,0.97006,0.98908,0.93793,0.39059,0.28231,0.81866,0.0094951,0.0094951,0.0094951
53,1905.95,0.41768,0.27789,0.82002,0.9529,0.94297,0.98652,0.93821,0.37705,0.31198,0.81656,0.0094852,0.0094852,0.0094852
54,1941.76,0.41066,0.27242,0.81729,0.95676,0.96225,0.98954,0.9265,0.41349,0.2919,0.82753,0.0094753,0.0094753,0.0094753
55,1977.44,0.41064,0.27469,0.81778,0.96501,0.96627,0.99067,0.94326,0.39016,0.27382,0.82138,0.0094654,0.0094654,0.0094654
56,2013.23,0.40758,0.27303,0.81692,0.95828,0.95948,0.98917,0.92101,0.42777,0.30022,0.82975,0.0094555,0.0094555,0.0094555
57,2049.22,0.40987,0.26902,0.81607,0.95434,0.97371,0.98849,0.91992,0.44696,0.29386,0.83123,0.0094456,0.0094456,0.0094456
58,2085.02,0.40248,0.27297,0.81281,0.95726,0.95345,0.98828,0.9328,0.41528,0.28487,0.82171,0.0094357,0.0094357,0.0094357
