epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.5517,0.74519,1.4003,0.96681,0.93207,0.96053,0.97939,0.8167,0.69474,0.47974,0.8924,0.00332939,0.00332939,0.00332939
2,162.689,0.70624,0.59465,0.94229,0.94284,0.92241,0.97947,0.80648,0.71106,0.49536,0.89212,0.00665613,0.00665613,0.00665613
3,240.175,0.75596,0.60436,0.96308,0.9144,0.89145,0.95456,0.75946,0.82621,0.61714,0.94986,0.00997626,0.00997626,0.00997626
4,317.574,0.74488,0.56814,0.96222,0.92013,0.90945,0.96178,0.79543,0.71211,0.5395,0.90247,0.0099703,0.0099703,0.0099703
5,394.5,0.67559,0.51031,0.92679,0.89609,0.93613,0.95542,0.79063,0.70256,0.54276,0.8832,0.0099604,0.0099604,0.0099604
6,471.725,0.63857,0.46064,0.91731,0.93943,0.91838,0.96863,0.80964,0.69067,0.46622,0.89167,0.0099505,0.0099505,0.0099505
7,548.243,0.60491,0.42466,0.89985,0.94104,0.97039,0.98484,0.83853,0.63598,0.3928,0.86555,0.0099406,0.0099406,0.0099406
8,625.682,0.58447,0.41462,0.89653,0.90902,0.9375,0.96975,0.80917,0.67029,0.48332,0.8882,0.0099307,0.0099307,0.0099307
9,702.967,0.57004,0.39616,0.8874,0.97633,0.95066,0.98745,0.84963,0.60817,0.38345,0.86102,0.0099208,0.0099208,0.0099208
10,780.506,0.54828,0.38256,0.87773,0.9315,0.90789,0.9574,0.81784,0.6138,0.45839,0.86754,0.0099109,0.0099109,0.0099109
11,857.155,0.54172,0.3752,0.879,0.96392,0.95724,0.97999,0.85013,0.59031,0.38494,0.85486,0.009901,0.009901,0.009901
12,933.859,0.53541,0.35978,0.87374,0.92184,0.96989,0.98558,0.83984,0.62189,0.40201,0.86691,0.0098911,0.0098911,0.0098911
