epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3088,0.83285,1.33719,0.93733,0.86647,0.80161,0.91628,0.77105,0.68251,1.05912,0.88983,0.00333097,0.00333097,0.00333097
2,138.333,0.71445,0.67347,0.90885,0.81493,0.72858,0.86956,0.7565,0.59772,0.98921,0.88908,0.0066577,0.0066577,0.0066577
3,201.237,0.76481,0.68439,0.93947,0.88953,0.85542,0.94611,0.77813,0.71735,0.68324,0.95609,0.00997784,0.00997784,0.00997784
4,263.952,0.77271,0.64348,0.95826,0.93934,0.92851,0.97685,0.81855,0.66031,0.50697,0.93582,0.0099703,0.0099703,0.0099703
5,326.379,0.72544,0.57405,0.94228,0.91666,0.95414,0.9783,0.80063,0.73658,0.50642,0.94723,0.0099604,0.0099604,0.0099604
6,388.965,0.69093,0.51128,0.91891,0.92145,0.89514,0.95924,0.83251,0.64629,0.52926,0.9364,0.0099505,0.0099505,0.0099505
7,451.506,0.65805,0.49213,0.90969,0.94842,0.94518,0.98472,0.85808,0.60275,0.44012,0.89618,0.0099406,0.0099406,0.0099406
8,514.287,0.63962,0.46901,0.8979,0.93132,0.92574,0.97585,0.83552,0.65521,0.49885,0.90553,0.0099307,0.0099307,0.0099307
9,576.954,0.62263,0.46547,0.88997,0.94929,0.89719,0.98031,0.88269,0.51106,0.42481,0.86615,0.0099208,0.0099208,0.0099208
10,639.253,0.60524,0.46073,0.88861,0.90123,0.90881,0.96203,0.86858,0.50627,0.47261,0.8726,0.0099109,0.0099109,0.0099109
11,701.687,0.5943,0.43252,0.88242,0.93322,0.94859,0.98313,0.88663,0.51169,0.38978,0.87156,0.009901,0.009901,0.009901
12,764.378,0.58348,0.41666,0.87989,0.94209,0.96707,0.98706,0.88808,0.49207,0.35908,0.85346,0.0098911,0.0098911,0.0098911
13,826.966,0.57911,0.41645,0.87889,0.93468,0.96547,0.98313,0.8787,0.52951,0.38598,0.86755,0.0098812,0.0098812,0.0098812
