epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4552,0.74928,1.27603,0.89458,0.82692,0.77132,0.87055,0.67896,0.81525,0.87394,0.92318,0.00332909,0.00332909,0.00332909
2,97.5477,0.65774,0.61279,0.86965,0.84011,0.83463,0.9071,0.70308,0.88454,0.80714,0.93637,0.00665583,0.00665583,0.00665583
3,143.535,0.70173,0.61269,0.89888,0.85101,0.79845,0.86741,0.65213,0.97192,0.96065,0.98602,0.00997597,0.00997597,0.00997597
4,188.993,0.68615,0.57094,0.90893,0.87052,0.83075,0.89782,0.6682,0.93173,0.90668,1.01497,0.0099703,0.0099703,0.0099703
5,234.724,0.63354,0.51215,0.89333,0.87465,0.90568,0.92221,0.70964,0.8595,0.62399,0.97921,0.0099604,0.0099604,0.0099604
6,280.562,0.60404,0.47081,0.88093,0.86408,0.93282,0.93724,0.74345,0.81443,0.58644,0.98252,0.0099505,0.0099505,0.0099505
7,326.363,0.57433,0.44032,0.87215,0.85733,0.90052,0.92569,0.71569,0.85788,0.61359,0.98375,0.0099406,0.0099406,0.0099406
8,372.062,0.55385,0.41719,0.8673,0.84636,0.86828,0.91007,0.71658,0.83974,0.74076,0.99576,0.0099307,0.0099307,0.0099307
9,417.513,0.54156,0.40009,0.86878,0.89556,0.94172,0.94602,0.76834,0.72,0.50331,0.96224,0.0099208,0.0099208,0.0099208
10,463.488,0.52365,0.37974,0.85899,0.90022,0.92081,0.94003,0.76173,0.75601,0.50071,0.96867,0.0099109,0.0099109,0.0099109
11,509.271,0.51615,0.37513,0.85802,0.86824,0.92765,0.92577,0.74117,0.75855,0.55173,0.96688,0.009901,0.009901,0.009901
12,554.944,0.50086,0.36477,0.8541,0.88592,0.93306,0.9204,0.74047,0.74531,0.50672,0.96528,0.0098911,0.0098911,0.0098911
13,600.71,0.49638,0.35595,0.85231,0.89807,0.8765,0.92479,0.74226,0.76874,0.79909,0.97787,0.0098812,0.0098812,0.0098812
14,646.686,0.48576,0.34392,0.85069,0.90533,0.92894,0.95524,0.76363,0.77066,0.47154,0.97,0.0098713,0.0098713,0.0098713
15,692.452,0.48369,0.34533,0.85177,0.88096,0.93282,0.94081,0.79066,0.69649,0.46958,0.95009,0.0098614,0.0098614,0.0098614
16,738.126,0.47112,0.33475,0.84505,0.87289,0.93158,0.932,0.76543,0.75658,0.51405,0.95909,0.0098515,0.0098515,0.0098515
17,783.762,0.4724,0.33282,0.84201,0.8802,0.93025,0.93807,0.77805,0.71171,0.49849,0.95822,0.0098416,0.0098416,0.0098416
18,829.577,0.46641,0.32311,0.84465,0.87786,0.91927,0.93943,0.7604,0.72986,0.54058,0.961,0.0098317,0.0098317,0.0098317
19,875.319,0.45591,0.32027,0.83911,0.88453,0.94186,0.94701,0.77558,0.7443,0.48908,0.96146,0.0098218,0.0098218,0.0098218
20,920.988,0.45955,0.316,0.83701,0.87265,0.94832,0.9337,0.78609,0.6953,0.49355,0.94299,0.0098119,0.0098119,0.0098119
21,966.59,0.45232,0.31141,0.8366,0.88235,0.9593,0.94651,0.78561,0.70586,0.45568,0.95304,0.009802,0.009802,0.009802
22,1012.38,0.44842,0.30722,0.83643,0.87408,0.9686,0.94855,0.78243,0.73946,0.44424,0.95154,0.0097921,0.0097921,0.0097921
23,1057.84,0.44076,0.30205,0.83182,0.89126,0.95305,0.95566,0.79235,0.74067,0.45587,0.95976,0.0097822,0.0097822,0.0097822
24,1103.58,0.43645,0.29811,0.83309,0.87957,0.85659,0.92461,0.76346,0.71235,0.6166,0.95513,0.0097723,0.0097723,0.0097723
25,1149.1,0.43701,0.29925,0.83379,0.87582,0.94444,0.94065,0.77649,0.73276,0.47604,0.96473,0.0097624,0.0097624,0.0097624
26,1194.8,0.42988,0.29644,0.82906,0.88774,0.94057,0.95059,0.78862,0.70694,0.45481,0.96505,0.0097525,0.0097525,0.0097525
27,1240.25,0.43305,0.29645,0.83213,0.88487,0.94337,0.9512,0.79512,0.70299,0.46054,0.96384,0.0097426,0.0097426,0.0097426
28,1285.94,0.42954,0.29248,0.8278,0.9046,0.95558,0.943,0.7813,0.72459,0.41783,0.9737,0.0097327,0.0097327,0.0097327
29,1331.8,0.42455,0.29022,0.82776,0.88064,0.95607,0.95206,0.8042,0.67848,0.42477,0.93785,0.0097228,0.0097228,0.0097228
30,1377.31,0.42441,0.28613,0.82812,0.87878,0.95538,0.94669,0.79872,0.67799,0.44182,0.94185,0.0097129,0.0097129,0.0097129
31,1423.09,0.41988,0.28186,0.82925,0.90628,0.93702,0.96125,0.80946,0.66864,0.42127,0.94687,0.009703,0.009703,0.009703
32,1468.98,0.41698,0.28232,0.82497,0.90782,0.94162,0.96103,0.80748,0.69621,0.42178,0.94387,0.0096931,0.0096931,0.0096931
33,1514.64,0.41222,0.28081,0.82418,0.90133,0.95594,0.95101,0.78519,0.7006,0.42676,0.95139,0.0096832,0.0096832,0.0096832
34,1560.56,0.40959,0.27769,0.81945,0.88459,0.96056,0.9559,0.80417,0.67525,0.41061,0.94868,0.0096733,0.0096733,0.0096733
35,1606.2,0.41222,0.28259,0.82375,0.90468,0.94419,0.95356,0.80947,0.6805,0.43128,0.95325,0.0096634,0.0096634,0.0096634
36,1651.84,0.40673,0.27496,0.82241,0.90391,0.95607,0.96163,0.81327,0.69705,0.41404,0.94831,0.0096535,0.0096535,0.0096535
37,1697.56,0.40396,0.27602,0.82106,0.88702,0.94332,0.94927,0.79455,0.67295,0.42752,0.94444,0.0096436,0.0096436,0.0096436
38,1743.27,0.40383,0.2709,0.82025,0.88181,0.9509,0.94706,0.78617,0.69541,0.45175,0.96024,0.0096337,0.0096337,0.0096337
39,1788.89,0.39663,0.26906,0.81915,0.90588,0.93264,0.95522,0.80266,0.69436,0.42958,0.95561,0.0096238,0.0096238,0.0096238
40,1834.3,0.39833,0.26851,0.82064,0.89453,0.96253,0.96377,0.80984,0.68101,0.41163,0.95293,0.0096139,0.0096139,0.0096139
41,1880,0.3974,0.26553,0.8168,0.88123,0.96824,0.95902,0.81165,0.67321,0.39998,0.94123,0.009604,0.009604,0.009604
42,1925.6,0.39494,0.26801,0.81789,0.87306,0.96382,0.95266,0.7966,0.69339,0.41985,0.95042,0.0095941,0.0095941,0.0095941
43,1971.09,0.3909,0.262,0.81585,0.88833,0.96253,0.96241,0.81194,0.68351,0.4062,0.94965,0.0095842,0.0095842,0.0095842
44,2016.83,0.39278,0.26492,0.81706,0.86465,0.94703,0.94253,0.7834,0.715,0.47388,0.96305,0.0095743,0.0095743,0.0095743
45,2062.8,0.38567,0.25931,0.81741,0.89618,0.94799,0.94796,0.78925,0.70968,0.43142,0.96447,0.0095644,0.0095644,0.0095644
46,2108.32,0.39346,0.26112,0.81511,0.88416,0.95653,0.95738,0.80403,0.71126,0.41973,0.95631,0.0095545,0.0095545,0.0095545
47,2153.89,0.38561,0.25842,0.8164,0.86795,0.96813,0.93267,0.78289,0.69381,0.43287,0.96004,0.0095446,0.0095446,0.0095446
48,2199.71,0.38278,0.25603,0.8156,0.89207,0.95995,0.95469,0.80429,0.67972,0.40968,0.9559,0.0095347,0.0095347,0.0095347
49,2245.64,0.38404,0.25806,0.81669,0.8828,0.95607,0.95296,0.80813,0.69192,0.42417,0.95214,0.0095248,0.0095248,0.0095248
50,2291.16,0.38387,0.25324,0.81306,0.89924,0.94315,0.95696,0.811,0.67358,0.41399,0.94722,0.0095149,0.0095149,0.0095149
51,2336.78,0.37965,0.25114,0.81197,0.89298,0.95949,0.96005,0.8111,0.67325,0.40053,0.95383,0.009505,0.009505,0.009505
52,2382.36,0.37873,0.25133,0.81569,0.89902,0.95607,0.95845,0.81082,0.66385,0.40013,0.94564,0.0094951,0.0094951,0.0094951
53,2427.98,0.37934,0.25253,0.81632,0.91314,0.93723,0.95767,0.80826,0.6825,0.40383,0.95352,0.0094852,0.0094852,0.0094852
54,2473.5,0.37726,0.24846,0.81629,0.87842,0.95736,0.94507,0.79656,0.67969,0.42981,0.95358,0.0094753,0.0094753,0.0094753
55,2519.06,0.37313,0.2467,0.8146,0.89285,0.94743,0.94471,0.79715,0.68754,0.42344,0.95348,0.0094654,0.0094654,0.0094654
56,2564.79,0.37645,0.25427,0.81477,0.89271,0.94186,0.93547,0.78603,0.68433,0.42781,0.9487,0.0094555,0.0094555,0.0094555
57,2610.67,0.37483,0.25222,0.81153,0.8701,0.96059,0.94539,0.79906,0.67359,0.42984,0.94497,0.0094456,0.0094456,0.0094456
58,2656.33,0.37408,0.24866,0.8104,0.89933,0.95793,0.95917,0.80849,0.66606,0.40033,0.95168,0.0094357,0.0094357,0.0094357
