epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1046,0.76339,1.27028,0.90341,0.80481,0.85917,0.89673,0.65142,0.89106,0.86555,0.96084,0.00333121,0.00333121,0.00333121
2,136.814,0.67335,0.63738,0.88854,0.8675,0.8882,0.91891,0.70515,0.88531,0.68693,0.96573,0.00665795,0.00665795,0.00665795
3,201.586,0.71855,0.64317,0.91739,0.82748,0.92334,0.91497,0.66809,0.96478,0.71829,1.04435,0.00997808,0.00997808,0.00997808
4,265.893,0.70849,0.62819,0.92949,0.75227,0.76899,0.82202,0.59581,0.96259,1.12853,1.07121,0.0099703,0.0099703,0.0099703
5,330.561,0.65796,0.55518,0.91299,0.83578,0.87457,0.90335,0.6843,0.89728,0.83362,1.01816,0.0099604,0.0099604,0.0099604
6,395.39,0.62247,0.49134,0.89987,0.85639,0.90912,0.92441,0.73301,0.81763,0.59153,0.99633,0.0099505,0.0099505,0.0099505
7,459.813,0.59854,0.46781,0.89089,0.88018,0.93014,0.91958,0.72125,0.80407,0.5803,0.9995,0.0099406,0.0099406,0.0099406
8,525.11,0.57777,0.43666,0.88289,0.84679,0.91401,0.92075,0.71823,0.85542,0.6544,0.99943,0.0099307,0.0099307,0.0099307
9,589.369,0.55673,0.42386,0.87473,0.84729,0.88886,0.91249,0.74502,0.73815,0.66626,0.96664,0.0099208,0.0099208,0.0099208
10,653.816,0.54532,0.4078,0.86692,0.86849,0.91292,0.93223,0.75014,0.81639,0.53551,0.99418,0.0099109,0.0099109,0.0099109
11,718.442,0.54851,0.39725,0.86924,0.89694,0.92636,0.9391,0.76587,0.75604,0.50415,0.96585,0.009901,0.009901,0.009901
12,783.384,0.518,0.37962,0.85819,0.83903,0.92262,0.89811,0.70443,0.76644,0.59694,0.97993,0.0098911,0.0098911,0.0098911
