epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7271,0.81617,2.40149,0.98281,0.7868,0.71727,0.76753,0.62303,0.74186,1.82424,0.97101,0.00332389,0.00332389,0.00332389
2,59.787,0.71679,0.95773,0.94575,0.90346,0.83614,0.92835,0.78227,0.60805,0.77244,0.91698,0.00665063,0.00665063,0.00665063
3,84.8797,0.74548,0.71328,0.95133,0.98439,0.51165,0.68983,0.5428,0.86607,2.4475,1.02853,0.00997078,0.00997078,0.00997078
4,109.946,0.73648,0.61229,0.95009,0.896,0.91727,0.97129,0.82888,0.66805,0.59603,0.92715,0.0099703,0.0099703,0.0099703
5,134.89,0.68452,0.5273,0.93004,0.85526,0.93502,0.95393,0.82813,0.58165,0.5556,0.90096,0.0099604,0.0099604,0.0099604
6,159.974,0.64414,0.49188,0.91192,0.85217,0.91217,0.94213,0.78528,0.61648,0.57377,0.9182,0.0099505,0.0099505,0.0099505
7,184.803,0.62423,0.46851,0.90622,0.9385,0.8825,0.9731,0.83112,0.63303,0.47883,0.91911,0.0099406,0.0099406,0.0099406
8,209.855,0.61071,0.44479,0.89721,0.90657,0.92369,0.97049,0.88509,0.45032,0.44077,0.85266,0.0099307,0.0099307,0.0099307
9,234.908,0.58932,0.42898,0.88727,0.9157,0.91325,0.97292,0.86269,0.54009,0.57093,0.8763,0.0099208,0.0099208,0.0099208
10,259.913,0.57491,0.41412,0.88479,0.88123,0.86908,0.94919,0.83118,0.5331,0.69506,0.87929,0.0099109,0.0099109,0.0099109
11,284.848,0.5628,0.40956,0.88118,0.88111,0.86317,0.93322,0.83734,0.46628,0.49586,0.85971,0.009901,0.009901,0.009901
12,309.855,0.5538,0.39655,0.87746,0.92831,0.88755,0.97133,0.85033,0.57104,0.53236,0.89758,0.0098911,0.0098911,0.0098911
13,334.753,0.54154,0.39006,0.87158,0.89139,0.94927,0.97724,0.90288,0.44744,0.38733,0.85277,0.0098812,0.0098812,0.0098812
14,359.719,0.54,0.39003,0.86891,0.96135,0.93901,0.9828,0.90242,0.46024,0.3659,0.85374,0.0098713,0.0098713,0.0098713
15,384.802,0.53214,0.37329,0.86974,0.91805,0.92677,0.97027,0.86759,0.4999,0.4178,0.87042,0.0098614,0.0098614,0.0098614
16,409.956,0.52748,0.37061,0.86421,0.94574,0.92691,0.97763,0.90357,0.42341,0.47242,0.83696,0.0098515,0.0098515,0.0098515
17,434.875,0.52021,0.36351,0.86392,0.95228,0.94566,0.98365,0.88701,0.49576,0.36024,0.85774,0.0098416,0.0098416,0.0098416
18,459.754,0.51775,0.35483,0.86197,0.92025,0.94541,0.97771,0.89102,0.4554,0.41604,0.84875,0.0098317,0.0098317,0.0098317
