epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.715,0.79262,2.21909,0.97903,0.90774,0.88816,0.94122,0.78289,0.68066,0.84385,0.89459,0.00333136,0.00333136,0.00333136
2,110.746,0.70393,0.88305,0.94239,0.91543,0.92573,0.96953,0.78748,0.7072,0.62343,0.9089,0.0066581,0.0066581,0.0066581
3,163.792,0.73045,0.69794,0.95592,0.8919,0.89474,0.95391,0.76663,0.75236,0.6169,0.93823,0.00997823,0.00997823,0.00997823
4,214.367,0.70989,0.59977,0.94418,0.92152,0.92701,0.96082,0.80104,0.68364,0.55897,0.89203,0.0099703,0.0099703,0.0099703
5,265.731,0.67083,0.54821,0.92679,0.92829,0.93681,0.97427,0.81305,0.66464,0.52038,0.88729,0.0099604,0.0099604,0.0099604
6,317.449,0.63595,0.51485,0.91368,0.95622,0.93396,0.97968,0.84207,0.61165,0.47685,0.85879,0.0099505,0.0099505,0.0099505
7,369.149,0.61116,0.49096,0.90319,0.97095,0.94737,0.98367,0.8448,0.60218,0.44292,0.86028,0.0099406,0.0099406,0.0099406
8,420.952,0.59297,0.45663,0.89906,0.9232,0.90947,0.97243,0.83434,0.63777,0.46861,0.88814,0.0099307,0.0099307,0.0099307
9,472.973,0.57645,0.44078,0.89284,0.97848,0.91447,0.98252,0.83164,0.64399,0.4524,0.88263,0.0099208,0.0099208,0.0099208
10,523.381,0.56422,0.42033,0.88347,0.95141,0.90166,0.97567,0.84526,0.57618,0.44717,0.85358,0.0099109,0.0099109,0.0099109
11,573.88,0.55094,0.41413,0.8814,0.94697,0.95395,0.97855,0.86623,0.54136,0.4257,0.84239,0.009901,0.009901,0.009901
12,626.895,0.54044,0.40776,0.87377,0.96908,0.92783,0.98097,0.84362,0.56886,0.43849,0.85237,0.0098911,0.0098911,0.0098911
13,682.719,0.53627,0.39883,0.87664,0.96243,0.92681,0.98036,0.87308,0.54323,0.42113,0.84086,0.0098812,0.0098812,0.0098812
14,734.77,0.52633,0.38554,0.87377,0.95331,0.9404,0.9872,0.87124,0.56243,0.39263,0.84326,0.0098713,0.0098713,0.0098713
15,787.427,0.52186,0.37504,0.86769,0.94818,0.96313,0.98242,0.86254,0.57021,0.41207,0.84963,0.0098614,0.0098614,0.0098614
16,838.591,0.52081,0.37193,0.86987,0.96963,0.92105,0.986,0.8659,0.56456,0.37915,0.84808,0.0098515,0.0098515,0.0098515
17,887.688,0.51312,0.37861,0.86775,0.96201,0.94079,0.98581,0.8704,0.5413,0.39668,0.83117,0.0098416,0.0098416,0.0098416
18,938.677,0.50518,0.3621,0.86464,0.90344,0.95407,0.97528,0.867,0.51903,0.38952,0.83102,0.0098317,0.0098317,0.0098317
19,992.155,0.49917,0.36303,0.86321,0.93904,0.96283,0.98655,0.87456,0.57465,0.36943,0.85686,0.0098218,0.0098218,0.0098218
20,1043.5,0.49756,0.35432,0.85897,0.93595,0.96143,0.98607,0.8764,0.53975,0.40619,0.84176,0.0098119,0.0098119,0.0098119
21,1094.24,0.49408,0.35282,0.86124,0.96134,0.94408,0.98524,0.86264,0.57488,0.38399,0.85386,0.009802,0.009802,0.009802
22,1148.83,0.48999,0.35113,0.85895,0.95414,0.96711,0.98547,0.88042,0.53036,0.34516,0.82875,0.0097921,0.0097921,0.0097921
23,1201.44,0.4872,0.34779,0.85847,0.93341,0.96835,0.98479,0.8696,0.5388,0.35499,0.8283,0.0097822,0.0097822,0.0097822
24,1254.16,0.48454,0.34951,0.85877,0.92182,0.98355,0.99001,0.87745,0.53062,0.34893,0.83012,0.0097723,0.0097723,0.0097723
25,1306.37,0.48244,0.33603,0.85849,0.96033,0.95724,0.98741,0.88711,0.52098,0.34444,0.82869,0.0097624,0.0097624,0.0097624
26,1357.66,0.47874,0.33948,0.85426,0.94495,0.96382,0.98258,0.87698,0.52046,0.35842,0.82409,0.0097525,0.0097525,0.0097525
27,1410.27,0.47277,0.33806,0.85411,0.95736,0.96006,0.9867,0.88527,0.51041,0.35447,0.82628,0.0097426,0.0097426,0.0097426
28,1464.93,0.46821,0.3299,0.84931,0.96061,0.95724,0.98901,0.89202,0.52288,0.3396,0.82798,0.0097327,0.0097327,0.0097327
29,1517.86,0.46785,0.33158,0.84605,0.94697,0.98026,0.98703,0.87895,0.51895,0.34594,0.8252,0.0097228,0.0097228,0.0097228
30,1570.98,0.46361,0.32159,0.84976,0.96384,0.96457,0.98829,0.89106,0.50604,0.33169,0.82086,0.0097129,0.0097129,0.0097129
31,1623.63,0.46508,0.32874,0.84664,0.94194,0.96053,0.98583,0.88315,0.51073,0.33844,0.821,0.009703,0.009703,0.009703
32,1676.34,0.46311,0.32644,0.84956,0.92829,0.93684,0.98429,0.89181,0.49817,0.37656,0.82172,0.0096931,0.0096931,0.0096931
33,1731.01,0.45752,0.31987,0.84417,0.9542,0.9595,0.9859,0.89319,0.50063,0.34403,0.82414,0.0096832,0.0096832,0.0096832
34,1784.44,0.46022,0.32055,0.84735,0.95811,0.93092,0.98396,0.88365,0.52411,0.3433,0.82735,0.0096733,0.0096733,0.0096733
35,1835.37,0.45575,0.31377,0.84598,0.97269,0.94408,0.98673,0.87785,0.53212,0.33247,0.83143,0.0096634,0.0096634,0.0096634
36,1884.65,0.45875,0.31713,0.84656,0.95476,0.97194,0.98712,0.88041,0.52117,0.34616,0.82944,0.0096535,0.0096535,0.0096535
37,1936,0.45237,0.31326,0.84442,0.95921,0.96382,0.98758,0.89944,0.48144,0.32198,0.81466,0.0096436,0.0096436,0.0096436
38,1988.06,0.45003,0.30501,0.83995,0.95085,0.95452,0.98529,0.8845,0.50165,0.40057,0.8186,0.0096337,0.0096337,0.0096337
