epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.178,0.78543,2.21442,0.97848,0.85884,0.86033,0.90929,0.69388,0.91188,1.04722,1.04893,0.00333118,0.00333118,0.00333118
2,132.287,0.68648,0.89722,0.93398,0.92989,0.91232,0.95068,0.74101,0.83618,0.67099,1.00675,0.00665792,0.00665792,0.00665792
3,192.016,0.7149,0.68967,0.94553,0.8515,0.8181,0.88876,0.65561,0.99742,0.87223,1.08755,0.00997806,0.00997806,0.00997806
4,251.641,0.70237,0.61763,0.94047,0.90759,0.87578,0.94739,0.72753,0.85633,0.65511,1.04536,0.0099703,0.0099703,0.0099703
5,310.864,0.65143,0.54076,0.91589,0.91389,0.87883,0.95141,0.75758,0.77563,0.58774,0.98766,0.0099604,0.0099604,0.0099604
6,370.521,0.6187,0.4955,0.90556,0.9223,0.93631,0.95843,0.74555,0.83209,0.55666,1.02266,0.0099505,0.0099505,0.0099505
7,430.317,0.58722,0.47554,0.89499,0.91482,0.84968,0.93297,0.74384,0.78471,0.64339,0.9939,0.0099406,0.0099406,0.0099406
8,489.522,0.5706,0.4532,0.88428,0.91787,0.90701,0.95054,0.75404,0.81498,0.52845,1.01622,0.0099307,0.0099307,0.0099307
9,549.671,0.55885,0.43462,0.87967,0.91955,0.8879,0.94601,0.76756,0.77224,0.57334,0.99094,0.0099208,0.0099208,0.0099208
10,610.315,0.54467,0.41126,0.87555,0.89561,0.92897,0.94926,0.77696,0.74993,0.54121,0.98604,0.0099109,0.0099109,0.0099109
11,670.615,0.53526,0.40574,0.87432,0.90567,0.91727,0.95281,0.77898,0.73511,0.51989,0.96347,0.009901,0.009901,0.009901
12,730.6,0.52156,0.38786,0.86896,0.9222,0.9211,0.96044,0.76235,0.79355,0.51782,1.0035,0.0098911,0.0098911,0.0098911
13,790.38,0.51041,0.3857,0.8655,0.91652,0.91847,0.95553,0.7731,0.77071,0.48953,0.98354,0.0098812,0.0098812,0.0098812
14,850.22,0.50538,0.38082,0.86307,0.92438,0.92739,0.9632,0.79676,0.71045,0.47702,0.96634,0.0098713,0.0098713,0.0098713
15,910.359,0.4915,0.38023,0.85946,0.92792,0.95112,0.96846,0.79687,0.73097,0.44284,0.97316,0.0098614,0.0098614,0.0098614
16,970.51,0.48995,0.36342,0.8563,0.94868,0.91835,0.96039,0.77864,0.74206,0.44902,0.98401,0.0098515,0.0098515,0.0098515
